governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat
Idleb,Harim,Karama,Al Asil,"36.314861,36.658513",IS,254,253,147,144,797,1,1,0.8,1,1,,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Karama,Al Ataa,"36.353285,36.622473",IS,245,210,149,131,735,1,1,0.8,1,1,1,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Karama,Al Ayade Al Baydaa,"36.2322905710001,36.641295776",IS,,,,,287,,1,0.8,1,,,4. Not covered - N/A,1. Fully covered,2. Mostly covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
Idleb,Harim,Karama,Al Fadal,"36.292917,36.728794",IS,194,152,126,102,543,1,1,0.8,1,1,,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Karama,Al Faraj,"36.279604,36.700114",IS,283,297,199,172,951,1,1,0.8,1,1,,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Karama,Al Farouk,"36.237194,36.753152",IS,244,233,171,159,807,1,1,0.8,1,1,,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Karama,Al Ghab Al Mankoub,"36.2112705710001,36.631485776",IS,170,184,166,190,710,1,1,0.8,1,,1,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Karama,Al Haneen,"36.3035005710001,36.676635776",IS,,,,,400,,1,0.8,1,,,4. Not covered - N/A,1. Fully covered,2. Mostly covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
Idleb,Harim,Karama,Al Haq,"36.195281,36.725395",IS,133,137,137,103,510,1,1,0.8,1,1,,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Karama,Al Hijaz,"36.319834,36.69374",IS,142,150,107,122,521,1,1,0.8,1,1,1,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Karama,Al Ikhaa,"36.296511,36.688563",IS,334,369,297,301,1301,1,1,0.8,1,1,1,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Karama,Al Ikhlas,"36.226507,36.639933",IS,178,214,145,146,683,1,1,0.8,1,1,,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
