governorate,district,Sub District,Community,cluster,Location Name,longitude,latitude,geo,environment,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat,class
Idleb,Harim,Dana,Atma,Karama,Al Ahrar,36.697432,36.292398,"36.292398,36.697432",IS,319,290,287,249,1145,1,1,1,1,,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered,4. Not covered,"b. 1,000 - 4,999"
Idleb,Harim,Dana,Atma,Karama,Al Amal Bil Awdah,36.703452,36.292533,"36.292533,36.703452",IS,125,133,100,115,473,1,1,1,1,,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Harim,Dana,Atma,Karama,Al Aqsa,36.701951,36.294899,"36.294899,36.701951",IS,217,147,181,143,688,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered,a. 0 - 999
Idleb,Harim,Dana,Atma,Karama,Al Asil,36.696943,36.291481,"36.291481,36.696943",IS,261,260,151,148,820,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered,a. 0 - 999
Idleb,Harim,Dana,Atma,Karama,Al Ataa,36.699633,36.292225,"36.292225,36.699633",IS,246,210,152,134,742,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Dana,Atma,Karama,Al Fadal,36.698204,36.294697,"36.294697,36.698204",IS,196,154,124,100,574,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered,a. 0 - 999
Idleb,Harim,Dana,Atma,Karama,Al Faraj,36.700434,36.294924,"36.294924,36.700434",IS,323,338,227,196,1084,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered,"b. 1,000 - 4,999"
Idleb,Harim,Dana,Atma,Karama,Al Farouk,36.699452,36.294694,"36.294694,36.699452",IS,268,255,188,174,885,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered,a. 0 - 999
Idleb,Harim,Dana,Atma,Karama,Al Haq,36.702545,36.294881,"36.294881,36.702545",IS,150,155,155,116,576,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered,a. 0 - 999
Idleb,Harim,Dana,Atma,Karama,Al Hijaz,36.70132,36.291654,"36.291654,36.70132",IS,142,150,107,122,521,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered,a. 0 - 999
Idleb,Harim,Dana,Atma,Karama,Al Ikhaa,36.700043,36.292251,"36.292251,36.700043",IS,368,407,328,332,1435,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,"b. 1,000 - 4,999"
Idleb,Harim,Dana,Atma,Karama,Al Ikhlas,36.695133,36.292187,"36.292187,36.695133",IS,220,264,179,181,844,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered,a. 0 - 999
Idleb,Harim,Dana,Atma,Karama,Aleman Billah,36.703259,36.294189,"36.294189,36.703259",IS,213,207,173,164,757,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Dana,Atma,Karama,Al Karama,36.700929,36.293252,"36.293252,36.700929",IS,780,811,673,795,3059,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,"b. 1,000 - 4,999"
Idleb,Harim,Dana,Atma,Karama,Al Mahabbah,36.698284,36.290635,"36.290635,36.698284",IS,221,214,147,146,728,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered,a. 0 - 999
